Time,_18_Large_Cage_Free_Eggs_900g,_Unsweetened_Almond_Life_Milk_UHT_1L,_Lactose_Lite_Long_Life_Milk_UHT_1L,_Red_Onions_Bag_1kg,_Onion_Brown_Bag_1kg,Heinz_Ravioli_With_Creamy_Tomato_350g,Dolmio_Herbs_Tomato_Pasta_Sauce_500g,_Chicken_Tikka_Masala_With_Rice_350g,Leggos_Sundried_Tomato_Pesto_190g
16/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
17/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
18/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
19/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
20/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
21/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
22/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
23/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
24/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
25/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
26/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
27/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
28/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
29/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
30/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
31/7/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
1/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
2/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
3/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
4/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
5/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
6/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
7/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
8/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
9/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
10/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
11/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
12/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
13/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
14/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
15/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
16/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
17/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
18/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
19/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
20/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
21/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
22/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
23/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
24/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
25/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
26/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
27/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
28/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
29/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
30/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
31/8/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
1/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
2/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
3/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
4/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
5/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
6/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
7/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
8/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
9/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
10/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
11/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
12/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
13/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
14/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
15/9/2025,8.70,2.00,1.90,5.50,2.50,5.30,2.75,4.50,4.30
16/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
17/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
18/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
19/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
20/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
21/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
22/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
23/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
24/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
25/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
26/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
27/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
28/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
29/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
30/9/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
1/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
2/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
3/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
4/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
5/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
6/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,3.60,4.00,5.30
7/10/2025,8.70,2.00,2.00,3.00,3.60,4.50,3.60,4.50,5.30
8/10/2025,8.70,2.00,2.00,3.00,3.60,4.50,3.60,4.50,5.30
9/10/2025,8.70,2.00,2.00,3.00,3.60,4.50,3.60,4.50,5.30
10/10/2025,8.70,2.00,2.00,3.00,3.60,4.50,3.60,4.50,5.30
11/10/2025,8.70,2.00,2.00,3.00,3.60,4.50,3.60,4.50,5.30
12/10/2025,8.70,2.00,2.00,3.00,3.60,4.50,3.60,4.50,5.30
13/10/2025,8.70,2.00,2.00,3.00,3.60,4.50,3.60,4.50,5.30
14/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,4.60,4.00,5.30
15/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,2.90,4.00,5.30
16/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,2.90,4.00,5.30
17/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,2.90,4.00,5.30
18/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,2.90,4.00,5.30
19/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,2.90,4.00,5.30
20/10/2025,8.70,2.00,2.00,4.90,2.50,4.50,2.90,4.00,5.30
21/10/2025,8.70,2.00,2.00,4.90,3.60,4.50,2.90,4.50,4.30
22/10/2025,8.40,2.00,2.00,4.90,3.60,4.50,4.60,4.50,4.30
23/10/2025,8.40,2.00,2.00,4.90,3.60,4.50,4.60,4.50,4.30
24/10/2025,8.40,2.00,2.00,4.90,3.60,4.50,4.60,4.50,4.30
25/10/2025,8.40,2.00,2.00,4.90,3.60,4.50,4.60,4.50,4.30
26/10/2025,8.40,1.85,2.00,4.90,3.60,4.50,4.60,4.50,4.30
27/10/2025,8.40,1.85,2.00,4.90,3.60,4.50,4.60,4.50,4.30
28/10/2025,8.40,1.85,2.00,4.90,3.00,3.50,4.60,4.50,5.30
29/10/2025,8.40,1.85,2.00,4.90,3.00,3.50,4.60,4.50,5.30
30/10/2025,8.40,1.85,2.00,4.90,3.00,3.50,4.60,4.50,5.30
31/10/2025,8.40,1.85,2.00,4.90,3.00,3.50,4.60,4.50,5.30
1/11/2025,8.40,1.85,2.00,4.90,3.00,3.50,4.60,4.50,5.30
2/11/2025,8.40,1.85,2.00,4.90,3.00,3.50,4.60,4.50,5.30
3/11/2025,8.40,1.85,2.00,4.90,3.00,3.50,4.60,4.50,5.30
4/11/2025,8.40,1.85,2.00,3.50,3.60,4.50,4.60,4.50,5.30
5/11/2025,8.40,1.85,2.00,3.50,3.60,4.50,3.80,4.50,5.30
6/11/2025,8.40,1.85,2.00,3.50,3.60,4.50,3.80,4.50,5.30
7/11/2025,8.40,1.85,2.00,3.50,3.60,4.50,3.80,4.50,5.30
8/11/2025,8.40,1.85,2.00,3.50,3.60,4.50,3.80,4.50,5.30
9/11/2025,8.40,1.85,2.00,3.50,3.60,4.50,3.80,4.50,5.30
10/11/2025,8.40,1.85,2.00,3.50,3.60,4.50,3.80,4.50,5.30
11/11/2025,8.40,1.85,2.00,4.90,2.50,4.50,4.60,4.50,5.30
12/11/2025,7.00,1.85,2.00,4.90,2.50,4.50,4.60,4.50,5.30
13/11/2025,7.00,1.85,2.00,4.90,2.50,4.50,4.60,4.50,5.30
